entry_idx,exit_idx,total_pnl_atr,long_pnl,short_pnl,holding_bars,entry_time,exit_time,symbol,gate_prob,date,pnl_after_cost
1397,1398,0.15893977917256916,0.617879558345102,-0.2999999999999637,1,2025-01-07 13:18:00,2025-01-07 13:19:00,QQQ,0.5859213471412659,2025-01-07,0.11893977917256915
1401,1402,0.4707755721036696,0.44161141679506855,0.4999397274122707,1,2025-01-07 13:22:00,2025-01-07 13:23:00,QQQ,0.5859213471412659,2025-01-07,0.4307755721036696
1426,1427,0.2786127905985768,0.857225581197294,-0.30000000000014043,1,2025-01-07 13:47:00,2025-01-07 13:48:00,QQQ,0.5428571701049805,2025-01-07,0.2386127905985768
1452,1453,0.11903481579888867,0.5380696315976911,-0.2999999999999137,1,2025-01-07 14:13:00,2025-01-07 14:14:00,QQQ,0.536796510219574,2025-01-07,0.07903481579888866
1508,1509,0.4318990541258093,0.17519006338731605,0.6886080448643026,1,2025-01-07 15:09:00,2025-01-07 15:10:00,QQQ,0.536796510219574,2025-01-07,0.39189905412580933
1534,1535,0.5057088877936358,-0.3000000000001176,1.3114177755873893,1,2025-01-07 15:35:00,2025-01-07 15:36:00,QQQ,0.46666669845581055,2025-01-07,0.4657088877936358
1550,1551,0.2788265559068892,-0.2999999999999687,0.857653111813747,1,2025-01-07 15:51:00,2025-01-07 15:52:00,QQQ,0.408713698387146,2025-01-07,0.2388265559068892
1565,1566,0.11599482500345387,-0.30000000000005034,0.5319896500069581,1,2025-01-08 09:36:00,2025-01-08 09:37:00,QQQ,0.536796510219574,2025-01-08,0.07599482500345386
1632,1633,0.2592686147309796,0.1772563621003233,0.3412808673616359,1,2025-01-08 10:43:00,2025-01-08 10:44:00,QQQ,0.408713698387146,2025-01-08,0.2192686147309796
1676,1677,0.15496569748447028,-0.30000000000009214,0.6099313949690327,1,2025-01-08 11:27:00,2025-01-08 11:28:00,QQQ,0.4319654703140259,2025-01-08,0.11496569748447028
1678,1679,0.04386658457065862,-0.30000000000000004,0.3877331691413173,1,2025-01-08 11:29:00,2025-01-08 11:30:00,QQQ,0.408713698387146,2025-01-08,0.003866584570658617
1683,1684,0.06120170538534636,0.42240341077056537,-0.29999999999987265,1,2025-01-08 11:34:00,2025-01-08 11:35:00,QQQ,0.408713698387146,2025-01-08,0.02120170538534636
1690,1691,0.4569926873857689,0.5426873857403536,0.37129798903118433,1,2025-01-08 11:41:00,2025-01-08 11:42:00,QQQ,0.6460905075073242,2025-01-08,0.41699268738576895
1692,1693,0.6665644344796975,-0.3000000000000433,1.6331288689594383,1,2025-01-08 11:43:00,2025-01-08 11:44:00,QQQ,0.6348623633384705,2025-01-08,0.6265644344796975
1699,1700,0.030887604831367738,-0.30000000000000154,0.361775209662737,1,2025-01-08 11:50:00,2025-01-08 11:51:00,QQQ,0.408713698387146,2025-01-08,-0.009112395168632263
1718,1719,0.49694910529140496,0.7408812921434478,0.25301691843936214,1,2025-01-08 12:09:00,2025-01-08 12:10:00,QQQ,0.4319654703140259,2025-01-08,0.456949105291405
1733,1734,0.13495380554350325,0.5699076110870175,-0.300000000000011,1,2025-01-08 12:24:00,2025-01-08 12:25:00,QQQ,0.6460905075073242,2025-01-08,0.09495380554350324
1772,1773,0.1426122539261589,-0.29999999999998495,0.5852245078523027,1,2025-01-08 13:03:00,2025-01-08 13:04:00,QQQ,0.4319654703140259,2025-01-08,0.10261225392615889
1780,1781,0.022515206348550587,0.34503041269710616,-0.300000000000005,1,2025-01-08 13:11:00,2025-01-08 13:12:00,QQQ,0.5428571701049805,2025-01-08,-0.017484793651449414
1783,1784,-0.004736314286275911,-0.30000000000000127,0.29052737142744944,1,2025-01-08 13:14:00,2025-01-08 13:15:00,QQQ,0.4174528121948242,2025-01-08,-0.04473631428627591
1785,1786,0.20460449409001435,0.7092089881801099,-0.3000000000000812,1,2025-01-08 13:16:00,2025-01-08 13:17:00,QQQ,0.5859213471412659,2025-01-08,0.16460449409001435
1789,1790,0.10537124713267337,-0.3000000000000951,0.5107424942654418,1,2025-01-08 13:20:00,2025-01-08 13:21:00,QQQ,0.504273533821106,2025-01-08,0.06537124713267337
1794,1795,0.29995993149069794,0.8999198629815549,-0.30000000000015903,1,2025-01-08 13:25:00,2025-01-08 13:26:00,QQQ,0.6348623633384705,2025-01-08,0.25995993149069796
1796,1797,0.12044524182537553,-0.3000000000000135,0.5408904836507645,1,2025-01-08 13:27:00,2025-01-08 13:28:00,QQQ,0.5859213471412659,2025-01-08,0.08044524182537552
1798,1799,0.22854249628269727,-0.3000000000001321,0.7570849925655266,1,2025-01-08 13:29:00,2025-01-08 13:30:00,QQQ,0.6348623633384705,2025-01-08,0.18854249628269726
1803,1804,0.2385893666444853,0.35229772095961115,0.12488101232935943,1,2025-01-08 13:34:00,2025-01-08 13:35:00,QQQ,0.5428571701049805,2025-01-08,0.1985893666444853
